benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2112.103836	1.003550	1.058251	1.053407
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2106.877358	1.003232	1.057089	1.052658
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2108.190154	1.003205	1.064214	1.059921
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2098.475335	1.002840	1.064478	1.061060
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2115.480416	1.002943	1.059056	1.053125
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2109.748728	1.002933	1.056231	1.056883
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2083.418158	1.002723	1.062136	1.057800
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2129.981737	1.002816	1.056384	1.051818
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2089.630464	1.003361	1.061555	1.057936
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2112.721274	1.003069	1.060652	1.058040
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2110.610217	1.003130	1.057578	1.053112
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2104.019617	1.002516	1.057605	1.053419
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2092.941723	1.003119	1.059988	1.053820
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2102.998790	1.002639	1.063200	1.058591
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2103.658899	1.002599	1.061338	1.057339
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2119.028906	1.002174	1.064840	1.061048
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2114.431247	1.002845	1.059927	1.056154
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2089.660557	1.003251	1.061874	1.056645
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2100.686988	1.002910	1.055890	1.052597
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3211.434885	1.007047	1.074279	1.076693
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3242.075657	1.007128	1.074866	1.074172
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3177.197740	1.007283	1.071437	1.075455
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3183.538096	1.007188	1.073548	1.076804
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3128.379402	1.007466	1.075742	1.076083
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3085.530630	1.006973	1.075455	1.075700
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3085.549196	1.007247	1.076357	1.076579
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3150.939374	1.007541	1.073562	1.074193
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3145.421026	1.007490	1.073619	1.074762
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3123.766993	1.007818	1.075563	1.074584
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3123.474672	1.006823	1.076163	1.076575
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3085.259960	1.007539	1.076230	1.076884
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3095.956866	1.007679	1.075539	1.076547
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3070.124066	1.006449	1.076877	1.076077
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3053.489712	1.007077	1.079762	1.079843
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3088.728563	1.007702	1.075322	1.078448
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3060.045776	1.005881	1.080400	1.080252
