benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3467.801095	1.000259	1.002079	1.003334
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2787.101697	1.002877	1.002857	1.003376
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3070.294844	1.001502	1.002740	1.003491
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2976.824096	1.002035	1.002587	1.003353
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3384.927484	1.000527	1.002028	1.002753
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3444.255034	1.000299	1.002424	1.003054
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3431.055492	1.000277	1.002357	1.003471
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3502.972738	1.000060	1.002405	1.003251
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3118.516233	1.001186	1.002706	1.003815
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2780.682813	1.002708	1.002981	1.003173
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3494.867074	1.000087	1.002542	1.003761
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12006.380179	1.000019	1.000672	1.000887
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11780.088909	1.000000	1.000742	1.000980
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11812.838685	1.000018	1.000586	1.000650
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12117.566156	1.000038	1.000753	1.001101
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11767.276048	1.000073	1.000943	1.001409
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12049.464193	1.000019	1.000487	1.000787
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12045.495765	1.000000	1.000807	1.001107
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11850.044635	1.000000	1.000295	1.000304
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12011.705824	1.000019	1.000596	1.001258
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11847.430530	1.000018	1.000900	1.000991
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11869.354246	1.000037	1.000563	1.000647
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12191.825865	1.000028	1.000568	1.000673
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12097.173540	1.000056	1.000451	1.000809
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11897.406646	1.000028	1.000878	1.000961
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12036.782227	1.000047	1.000616	1.001018
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12225.780563	1.000019	1.000682	1.000454
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12033.803762	1.000019	1.000410	1.000905
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11776.327947	1.000018	1.000450	1.000771
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12023.068553	1.000019	1.000821	1.000709
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11550.374633	1.000090	1.000971	1.001133
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12296.451251	1.000000	1.000429	1.000762
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12196.394855	1.000057	1.000549	1.000436
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11867.325795	1.000018	1.000794	1.001154
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12015.729856	1.000037	1.000467	1.000654
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11929.235739	1.000000	1.000678	1.000659
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11510.035026	1.000018	1.000753	1.000726
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	11846.507007	1.000037	1.000664	1.001005
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12110.201663	1.000000	1.000423	1.000874
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12124.097769	1.000038	1.000479	1.000761
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	16	8000	12141.045153	1.000094	1.000526	1.001024
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	24	8000	20423.507695	1.000170	1.001255	1.001095
